,Phrase,Count,PMI
3760,"('that', 'will')",107,3.3155548171807077
5364,"('of', 'failure')",106,2.3407460932486757
1120,"('could', 'lead')",106,5.938794965924451
1251,"('however', 'there')",106,5.691350975703617
2319,"('risk', 'of')",106,4.414746674692452
3159,"('many', 'students')",106,3.7473007505956133
5878,"('and', 'knowledge')",105,2.054742346001831
8542,"('and', 'in')",105,-2.1738688541700704
5675,"('of', 'how')",105,2.1748877372965545
5252,"('the', 'long')",105,2.4108897381575183
1767,"('aware', 'of')",105,5.016731035739451
6006,"('decisions', 'and')",105,1.9747522478281567
3735,"('making', 'it')",105,3.3305797803452037
7086,"('of', 'people')",105,1.1619631712070628
3004,"('opportunity', 'for')",104,3.8598554581399185
313,"('personal', 'growth')",104,8.377627975282362
3728,"('reduce', 'the')",104,3.3381902495789184
5186,"('for', 'them')",104,2.457757014568571
4976,"('teachers', 'and')",104,2.572439579734791
2930,"('it', ""'s"")",104,3.9100613461922613
1296,"('their', 'peers')",104,5.618842777946586
8455,"('and', 'that')",103,-1.4129023438712736
4133,"('friends', 'and')",103,3.074451274626437
880,"('argue', 'that')",103,6.40587762667931
2709,"('to', 'attend')",103,4.089306008064241
1822,"('aspects', 'of')",103,4.954497668871255
3781,"('however', 'it')",103,3.289614124231967
5474,"('to', 'access')",103,2.2791305669442607
4494,"('we', 'have')",103,2.863139015364265
5804,"('without', 'the')",103,2.097742528812365
2867,"('the', 'courage')",102,3.963077202787055
5868,"('beneficial', 'to')",102,2.058041061555002
166,"('three', 'years')",102,9.328286757912547
7410,"('learning', 'and')",102,0.8873912882233412
1316,"('be', 'seen')",102,5.588842262412065
8334,"('that', 'a')",102,-0.83068198554734
5693,"('from', 'their')",102,2.166304380766423
374,"('self', 'confidence')",101,8.113569325060197
5096,"('of', 'self')",101,2.5033823231999257
3508,"('needed', 'to')",101,3.4760544629116623
4100,"('beneficial', 'in')",101,3.096108278954773
3481,"('to', 'think')",101,3.495954020349366
1387,"('studies', 'have')",101,5.498452920893559
2823,"('a', 'result')",101,3.9887112910376175
4035,"('ideas', 'and')",101,3.136211834837436
7811,"('you', 'to')",101,0.3659078745630744
2289,"('a', 'curfew')",100,4.455117679562232
